model_key,score_name,score_family,n_spots,spearman_error,spearman_pvalue,pearson_error,pearson_pvalue,auroc_top20_error,average_precision_top20_error,auroc_top10_error,average_precision_top10_error,top_minus_bottom20_error,keep80_mean_error,aurc
rctd,phi_local_shuffled_coordinates,component/proxy diagnostic,1200,-0.12029373631509464,2.941688717287778e-05,-0.1282359411694187,8.350192715025578e-06,0.4229079861111111,0.17008804663065144,0.4080092592592593,0.08479209726744084,-0.0668641225778211,0.43970375056275823,0.44806564248467207
tangram,cross_model_disagreement,uncertainty/confidence baseline,1200,0.6530714951885384,8.08381424885044e-147,0.664446323975229,1.0274243085803733e-153,0.8435633680555555,0.6238915064097765,0.8636033950617283,0.46094137408301594,0.3050018544416986,0.574790455476905,0.5178448739371162
tangram,abundance_entropy_risk,uncertainty/confidence baseline,1200,0.4525528073283384,1.2290835796856611e-61,0.4608900581954404,3.7872308225631854e-64,0.7151302083333333,0.464040109502461,0.7444367283950617,0.31621923120368367,0.22698513000514342,0.5820738581451105,0.5471561897171053
tangram,inverse_max_abundance,uncertainty/confidence baseline,1200,0.38292625897656873,3.3724209779740442e-43,0.3654504656374128,3.19611007733108e-39,0.6897395833333333,0.3866949731550627,0.7264351851851851,0.26646465813043185,0.1853202540339809,0.5869380286887463,0.5592731202938965
tangram,snrna_marker_discordance,component/proxy diagnostic,1200,0.37891545063572957,2.899183656273445e-42,0.4152987083860549,3.1192984687266575e-51,0.6816840277777777,0.34783245703010923,0.7062731481481481,0.20651380737280225,0.20531589759268543,0.5912723711048972,0.5452753036585505
tangram,reference_risk_score,ReliST score,1200,0.33709620631681,2.833818354831188e-33,0.35370170395047684,1.1043954560092816e-36,0.6628255208333333,0.3460440570510418,0.6767052469135802,0.19083378045198085,0.16252554010412634,0.5976762810065792,0.5586863075410915
tangram,phi_uncertainty,uncertainty/confidence baseline,1200,0.3323550223019433,2.445208152789341e-32,0.3361951608444448,4.280645899085567e-33,0.6572265625,0.34343058744886223,0.634170524691358,0.17996402531198835,0.164324611199263,0.5936746704661974,0.566877349166379
tangram,snrna_signature_residual,component/proxy diagnostic,1200,0.2597513262161988,5.902177409808987e-20,0.2664234195222024,6.012355277081775e-21,0.6387717013888888,0.32845441909059814,0.6199074074074074,0.18176364859065916,0.10912491807985691,0.5965200550904812,0.5808071342758043
tangram,inverse_top1_margin,uncertainty/confidence baseline,1200,0.2495282496723956,1.7234082384239287e-18,0.24760248769448398,3.199757938857137e-18,0.6316927083333332,0.29769194530405835,0.6601697530864198,0.17962291746698464,0.11622650973917958,0.6002051815524737,0.5734984154972673
tangram,reference_only,ReliST score,1200,0.19750320659944903,5.102952799061545e-12,0.20446065991107215,8.61375142223103e-13,0.5970659722222222,0.2568747831013612,0.6364197530864196,0.1580414506505473,0.10918074843495529,0.6043297031772842,0.5770198440098743
tangram,phi_reference,component/proxy diagnostic,1200,0.19750320659944903,5.102952799061545e-12,0.20052880602250386,2.3728245434879392e-12,0.5970659722222222,0.2568747831013612,0.6364197530864196,0.1580414506505473,0.10918074843495529,0.6043297031772842,0.5770198440098743
tangram,risk_score,ReliST score,1200,0.17356720386611377,1.428183176709054e-09,0.1765305715053281,7.402282299996585e-10,0.5739149305555555,0.2593114309415606,0.5773765432098765,0.13414609264552885,0.08444622843731275,0.6060952256572497,0.586985315977821
tangram,risk_score_shuffled_local,ReliST score,1200,0.07292182147348714,0.011510113327459664,0.07591174923978929,0.00852051602786082,0.5291840277777777,0.25166537267946887,0.5323456790123458,0.12363624503365987,0.026625745711608917,0.6103585456863868,0.605893572697345
tangram,local_uncertainty_risk_score,ReliST score,1200,0.06197668887270061,0.031812237062862396,0.059907378680642456,0.03799084518298083,0.5183506944444445,0.21073559451635202,0.48538580246913576,0.09637657570911112,0.04051968293298769,0.6079482580903194,0.6052909775360691
tangram,leave_out_reference,ReliST score,1200,0.06197668887270061,0.031812237062862396,0.059907378680642456,0.03799084518298083,0.5183506944444445,0.21073559451635202,0.48538580246913576,0.09637657570911112,0.04051968293298769,0.6079482580903194,0.6052909775360691
tangram,native_uncertainty_risk,uncertainty/confidence baseline,1200,-0.03305066184073739,0.25261208083680264,-0.014199240932152978,0.6231518454378357,0.483515625,0.1978342775096837,0.4204938271604938,0.0856133501496656,-0.015409448520456781,0.6141651447559864,0.625856303656756
tangram,phi_local,component/proxy diagnostic,1200,-0.24999704860906155,1.4812252733040295e-18,-0.26397140104250166,1.4024579840175675e-20,0.36651041666666667,0.15781976994166008,0.3515972222222222,0.07361776690836386,-0.13339969445976896,0.6296541240301721,0.658685638837121
tangram,phi_local_shuffled_coordinates,component/proxy diagnostic,1200,-0.39058119484805204,5.1065992015722116e-45,-0.43008316167785793,3.3111927316714996e-55,0.3133723958333333,0.1411552139429198,0.2941203703703703,0.06662280420910209,-0.19323596413315103,0.6358233832654664,0.6824053771291299
